"team","attack","defense","net_rating","rank"
"Germany",1.83925337165073,-1.52827121762992,3.36752458928066,1
"Brazil",1.86720727161588,-1.42503458910058,3.29224186071645,2
"France",1.7154267712658,-1.56879205856073,3.28421882982653,3
"Spain",1.90084029281837,-1.28488687830791,3.18572717112628,4
"Croatia",1.63292255078064,-1.55003812726208,3.18296067804271,5
"Belgium",1.85048698533333,-1.27828498727681,3.12877197261013,6
"Portugal",1.68553226259577,-1.37935350137093,3.0648857639667,7
"England",1.65424963240748,-1.40229274680438,3.05654237921186,8
"Colombia",1.61272187960643,-1.43800396971388,3.0507258493203,9
"Netherlands",1.76340782461515,-1.2527923287002,3.01620015331535,10
"Denmark",1.41607549999086,-1.50658256028417,2.92265806027503,11
"Italy",1.34174163355016,-1.53132042976912,2.87306206331928,12
"Wales",1.32966072613409,-1.53057924180636,2.86023996794045,13
"Chile",1.50697195031069,-1.3102826652473,2.81725461555799,14
"Switzerland",1.47301014107151,-1.33497177407893,2.80798191515044,15
"Sweden",1.45517616667924,-1.34721979416342,2.80239596084267,16
"Argentina",1.39179609379822,-1.38771674245567,2.77951283625389,17
"Uruguay",1.43944890207625,-1.29679253122059,2.73624143329684,18
"Peru",1.30599025909559,-1.31788200079448,2.62387225989007,19
"Mexico",1.36994530836778,-1.2514707037487,2.62141601211648,20
"Poland",1.65101113180043,-0.96320354137678,2.61421467317721,21
"Senegal",1.29361135873497,-1.30430906318355,2.59792042191851,22
"Slovakia",1.36577675602789,-1.2083132410886,2.57408999711649,23
"Russia",1.52502487498327,-1.03031780031941,2.55534267530268,24
"Morocco",1.07292940084127,-1.43115048589914,2.50407988674041,25
"Ukraine",1.17670714518394,-1.32712277718234,2.50382992236628,26
"Serbia",1.47342556064311,-1.01352019328698,2.48694575393008,27
"Northern Ireland",1.02959720253977,-1.45686248729457,2.48645968983434,28
"Iran",0.995748849694013,-1.487423274788,2.48317212448201,29
"Ireland",1.23441379162448,-1.22863211842609,2.46304591005057,30
"Romania",1.16301784474933,-1.28151179813402,2.44452964288335,31
"Iceland",1.41404426872452,-1.00272789771372,2.41677216643824,32
"Austria",1.32131427249886,-1.08932042733196,2.41063469983083,33
"Turkey",1.32815608769629,-1.06583663350763,2.39399272120392,34
"Ecuador",1.4399473883398,-0.921719546893162,2.36166693523296,35
"Scotland",1.34985531448037,-0.963885000090405,2.31374031457077,36
"Bosnia-Herzegovina",1.39994677932867,-0.873230224573936,2.27317700390261,37
"Czech Republic",1.27987209661177,-0.939769647017129,2.2196417436289,38
"Japan",1.29615535489552,-0.917681947299309,2.21383730219483,39
"Costa Rica",0.964874372852556,-1.22292755586883,2.18780192872139,40
"USA",1.27214195897391,-0.910508055352347,2.18265001432626,41
"Nigeria",1.06072857741121,-1.11656002279817,2.17728860020938,42
"Ghana",1.10589976945278,-1.06467983773152,2.1705796071843,43
"Paraguay",1.23836789598799,-0.923016471449504,2.16138436743749,44
"Egypt",0.993977037219602,-1.12435223257199,2.1183292697916,45
"Australia",1.24322016267213,-0.860285113836379,2.10350527650851,46
"Slovenia",1.01549781777197,-1.07114631117383,2.08664412894579,47
"Montenegro",1.23517152995267,-0.848547500856621,2.08371903080929,48
"Algeria",1.40393043170692,-0.638383016883272,2.04231344859019,49
"Venezuela",1.25266030196031,-0.773706101991434,2.02636640395174,50
"Albania",0.919888249424501,-1.05074546121989,1.9706337106444,51
"Hungary",1.18551886742511,-0.744419584356803,1.92993845178191,52
"Greece",0.899883585369446,-1.02718946436892,1.92707304973836,53
"Tunisia",1.18854488197912,-0.73774485003567,1.92628973201479,54
"Congo DR",1.28707050817901,-0.634478998339371,1.92154950651838,55
"Ivory Coast",1.05486595909202,-0.863919173235889,1.91878513232791,56
"Korea Republic",0.942855551088136,-0.970668501605588,1.91352405269372,57
"Norway",1.12963691451057,-0.782178478716363,1.91181539322693,58
"Finland",0.9518099569214,-0.954472466455954,1.90628242337735,59
"Burkina Faso",1.01690049012777,-0.877433611331804,1.89433410145957,60
"Cameroon",0.929983919540621,-0.931924339406266,1.86190825894689,61
"Bulgaria",1.12931887737113,-0.696964386973903,1.82628326434503,62
"Georgia",0.921834780919275,-0.81209612600791,1.73393090692718,63
"South Africa",1.05527888662942,-0.672748479566564,1.72802736619599,64
"Israel",1.01902591531787,-0.703625845614533,1.7226517609324,65
"Macedonia",0.965995274154786,-0.73425852295418,1.70025379710897,66
"Uganda",0.469466931365693,-1.21267013722049,1.68213706858618,67
"Bolivia",1.00474315090666,-0.64660552980754,1.6513486807142,68
"Syria",0.983784385981193,-0.664378990687589,1.64816337666878,69
"Zambia",0.62023629012618,-0.930557775544293,1.55079406567047,70
"Zimbabwe",1.09540770546016,-0.45365212654605,1.54905983200621,71
"Iraq",0.864317927966074,-0.652519899097414,1.51683782706349,72
"Uzbekistan",0.742801994924894,-0.767928576486831,1.51073057141173,73
"Belarus",0.787974739313588,-0.720437551646465,1.50841229096005,74
"Panama",0.854865696850825,-0.64078074085941,1.49564643771024,75
"United Arab Emirates",0.782021003580789,-0.70681502105921,1.48883602464,76
"Jamaica",0.688816935903484,-0.786644860738998,1.47546179664248,77
"Canada",0.846760087799457,-0.596341409305908,1.44310149710537,78
"Guinea",1.04603107434603,-0.395813286083666,1.44184436042969,79
"Mali",0.67344349210591,-0.765871742652248,1.43931523475816,80
"Libya",0.688298439547272,-0.749040700952013,1.43733914049928,81
"Armenia",1.04778513477928,-0.384698557367842,1.43248369214713,82
"Saudi Arabia",0.895807368015516,-0.533138218186567,1.42894558620208,83
"Cape Verde",0.769025630592778,-0.64194149632017,1.41096712691295,84
"Cyprus",0.822238684773412,-0.537687886020103,1.35992657079351,85
"Jordan",0.761152364770502,-0.559788337688974,1.32094070245948,86
"Zanzibar",1.05283959001423,-0.258950433515928,1.31179002353016,87
"Honduras",0.631644279794019,-0.676675811023958,1.30832009081798,88
"China",0.645738974140917,-0.659816923916801,1.30555589805772,89
"Congo",0.9846014060737,-0.302698229387952,1.28729963546165,90
"Haiti",0.848712691388227,-0.428619468503596,1.27733215989182,91
"Benin",0.750406119950151,-0.522224712674044,1.2726308326242,92
"Kosovo",0.746554980569374,-0.49397735464317,1.24053233521254,93
"Estonia",0.541150080443395,-0.691596421644377,1.23274650208777,94
"Gabon",0.472722080934025,-0.681504667209867,1.15422674814389,95
"Kazakhstan",0.688008392518831,-0.455759729401127,1.14376812191996,96
"Qatar",0.739023776616774,-0.381025180769124,1.1200489573859,97
"El Salvador",0.594627931159481,-0.509827531972082,1.10445546313156,98
"Azerbaijan",0.653719252867887,-0.449583568799553,1.10330282166744,99
"Botswana",0.581983555653823,-0.513325422310522,1.09530897796434,100
"Trinidad and Tobago",0.877086283763095,-0.210247465710318,1.08733374947341,101
"Equatorial Guinea",0.428737797720869,-0.642203184018411,1.07094098173928,102
"Rwanda",0.597674480971469,-0.46850837193699,1.06618285290846,103
"Luxembourg",0.70287813900013,-0.35667192510414,1.05955006410427,104
"Latvia",0.580489802380761,-0.478639020298715,1.05912882267948,105
"Guersney",0.678639084517624,-0.361479053933301,1.04011813845092,106
"Togo",0.594147190974897,-0.445270701423274,1.03941789239817,107
"Central African Republic",0.949806313838074,-0.087646745267758,1.03745305910583,108
"Madagascar",0.634129074196709,-0.39544710392799,1.0295761781247,109
"Oman",0.564878443135568,-0.419141075357044,0.984019518492612,110
"Lebanon",0.498424265421143,-0.484770652713874,0.983194918135016,111
"Swaziland",0.379825696809252,-0.58694810103722,0.966773797846471,112
"Mauritania",0.500807015272632,-0.447221051780542,0.948028067053175,113
"Burundi",0.579115846749475,-0.355389161347698,0.934505008097173,114
"Kenya",0.40539811310296,-0.51666601849112,0.922064131594081,115
"Palestine",0.51916183659605,-0.393064343612071,0.91222618020812,116
"Bahrain",0.449945126091843,-0.462216621273464,0.912161747365307,117
"Sierra Leone",0.424462457247064,-0.485900885156069,0.910363342403133,118
"Isle of Man",0.885636711971232,-0.0145035352795151,0.900140247250747,119
"Namibia",0.449826081931378,-0.444227439275905,0.894053521207283,120
"New Zealand",0.228807168866391,-0.648985177946427,0.877792346812818,121
"Angola",0.368319816384678,-0.507226092413881,0.875545908798559,122
"Mozambique",0.478411705103409,-0.395971875726172,0.874383580829581,123
"Faroe Islands",0.339861901538699,-0.491463467698332,0.831325369237031,124
"Lithuania",0.385817807600202,-0.442241146255959,0.82805895385616,125
"French Guyana",0.678036941962296,-0.141860081699492,0.819897023661788,126
"Kuwait",0.477900558822513,-0.336500324627033,0.814400883449546,127
"Tanzania",0.469490617385458,-0.328874828476689,0.798365445862147,128
"Moldova",0.225868344488349,-0.550619939731209,0.776488284219558,129
"Niger",0.468594280215086,-0.283660684546246,0.752254964761331,130
"Korea DPR",0.737947826944954,-0.00802337955641103,0.745971206501365,131
"Guinea-Bissau",0.327728185750529,-0.401806753174096,0.729534938924625,132
"Thailand",0.602468192341348,-0.101356299138871,0.703824491480219,133
"Malawi",0.172980316392412,-0.516586262577658,0.689566578970069,134
"Guatemala",0.295875794207707,-0.351687263169446,0.647563057377153,135
"Ethiopia",0.660230169637629,0.0169819362947827,0.643248233342847,136
"Liberia",0.447826792680851,-0.189229747327706,0.637056540008557,137
"Menorca",0.467775192350456,-0.0999875641841316,0.567762756534587,138
"Curaçao",0.440933522469965,-0.119827137288726,0.56076065975869,139
"Vietnam",0.362035984720025,-0.165760376314266,0.527796361034291,140
"Martinique",0.321020437679758,-0.195777445632865,0.516797883312624,141
"St. Kitts and Nevis",0.141566983891025,-0.290686919225003,0.432253903116029,142
"Comoros",-0.00921809469941029,-0.432853670557782,0.423635575858371,143
"Chad",0.395376265962822,-0.0129887085147873,0.408364974477609,144
"Lesotho",0.18906696185433,-0.19253490181993,0.38160186367426,145
"Jersey",0.338983471621245,-0.0342654117528592,0.373248883374105,146
"Gambia",-0.0826660861027526,-0.422795240659687,0.340129154556934,147
"Nicaragua",0.235565443850054,-0.0413854310958192,0.276950874945873,148
"Sudan",0.0461057534252051,-0.228758962144111,0.274864715569316,149
"Belize",0.399210055720351,0.149572638122344,0.249637417598007,150
"Suriname",0.335351179276247,0.100193023484829,0.235158155791417,151
"Kyrgyzstan",0.121071784504136,-0.0562739525368629,0.177345737040999,152
"Malta",-0.210348458560247,-0.358605413355201,0.148256954794955,153
"Dominican Republic",0.44143026191448,0.302778515636434,0.138651746278046,154
"Guyana",0.433801152048673,0.35502739426533,0.0787737577833434,155
"Åland Islands",-0.25073958587911,-0.325161180065983,0.0744215941868731,156
"Cuba",0.166335928202656,0.139170697903662,0.0271652302989939,157
"Hong Kong",-0.11031043181628,-0.11849637717439,0.00818594535811021,158
"Philippines",0.196427614326301,0.209275708134071,-0.0128480938077701,159
"Bermuda",0.324869278328182,0.366809417560518,-0.041940139232336,160
"Tajikistan",0.335225809858838,0.396724392392569,-0.0614985825337303,161
"Aruba",0.162162765984242,0.236006982830552,-0.0738442168463106,162
"India",0.174364783225637,0.266558774342515,-0.0921939911168774,163
"Antigua and Barbuda",-0.0696282967119236,0.0574884429991681,-0.127116739711092,164
"Indonesia",0.0310588462740446,0.159060256874535,-0.128001410600491,165
"São Tomé and Príncipe",0.193454555892137,0.334683567523098,-0.141229011630961,166
"Turkmenistan",0.203270057318029,0.351121743883716,-0.147851686565687,167
"Yemen",-0.270226309279869,-0.0894059260025088,-0.18082038327736,168
"New Caledonia",-0.0137946911151786,0.169219408363248,-0.183014099478427,169
"Isle of Wight",-0.219040734093289,-0.0332155225345906,-0.185825211558698,170
"Afghanistan",-0.0211498538995911,0.197773512682158,-0.218923366581749,171
"Orkney",-0.136159121737776,0.0925808072855584,-0.228739929023334,172
"Tahiti",-0.0571119515241516,0.210629557974882,-0.267741509499034,173
"Greenland",-0.0702783095266816,0.211533236786909,-0.28181154631359,174
"Shetland",0.347854286145135,0.64042374516853,-0.292569459023395,175
"South Sudan",0.032169485066965,0.358212454501294,-0.326042969434329,176
"Seychelles",-0.187103065575106,0.150311081260595,-0.337414146835701,177
"Gotland",0.366902008212969,0.716327242493691,-0.349425234280722,178
"Grenada",0.0708614835370247,0.428774316574694,-0.357912833037669,179
"Barbados",-0.138793986899353,0.228882445293533,-0.367676432192886,180
"Andorra",-0.529609029286765,-0.15929993078387,-0.370309098502896,181
"Saare County",0.210220534716463,0.594407239203671,-0.384186704487207,182
"Mauritius",-0.123968879649903,0.262085682703142,-0.386054562353046,183
"St. Lucia",-0.253374579403305,0.136808977883009,-0.390183557286313,184
"Ynys Môn",0.14161577961502,0.549010212300394,-0.407394432685374,185
"St. Vincent and the Grenadines",0.194061800255506,0.607807551826725,-0.413745751571219,186
"Puerto Rico",0.337522667469153,0.755190892793574,-0.417668225324421,187
"Singapore",-0.251838014934006,0.175769893047954,-0.427607907981959,188
"Montserrat",-0.198649192790662,0.279171160579643,-0.477820353370305,189
"Burma",0.000150803336212812,0.480179219577463,-0.48002841624125,190
"Eritrea",-0.0902780378280421,0.422772223343319,-0.513050261171361,191
"Northern Cyprus",-0.155700797703438,0.3885383448382,-0.544239142541638,192
"Occitania",-0.576080234887796,-0.0233023351295465,-0.552777899758249,193
"Guadeloupe",-0.335406186004315,0.235163682824365,-0.57056986882868,194
"Gibraltar",-0.297028973280506,0.280241566303297,-0.577270539583802,195
"Liechtenstein",-0.603619851702699,0.0309688558272,-0.634588707529899,196
"Iraqi Kurdistan",-0.0775351299056478,0.594689785560007,-0.672224915465655,197
"Taiwan",-0.0142441776080432,0.676283523853008,-0.690527701461051,198
"Malaysia",-0.113077791838461,0.582054864759683,-0.695132656598144,199
"Padania",-0.342768369301516,0.387679414205674,-0.730447783507191,200
"Kárpátalja",-0.1225363373063,0.630720427612294,-0.753256764918594,201
"Dominica",0.0639724744957932,0.828428962981744,-0.764456488485951,202
"Panjab",-0.170484033655702,0.706101607200004,-0.876585640855706,203
"Maldives",-0.0866058802777299,0.797633042856045,-0.884238923133775,204
"Guam",-0.599310944508908,0.285338527804687,-0.884649472313596,205
"Papua New Guinea",-0.00831490459832945,0.879673896143876,-0.887988800742206,206
"Bonaire",0.0788249866737155,1.00855433956105,-0.929729352887335,207
"Abkhazia",-0.598926403541321,0.371364061031895,-0.970290464573216,208
"Solomon Islands",-0.450116079979806,0.629878574633102,-1.07999465461291,209
"Pakistan",-0.357037123838597,0.724975345014995,-1.08201246885359,210
"Cambodia",-0.403560224545562,0.702627709095254,-1.10618793364082,211
"Fiji",-0.459889295659034,0.657466411959712,-1.11735570761875,212
"County of Nice",-0.0991628383925739,1.05003397836266,-1.14919681675523,213
"Nepal",-0.819297300765477,0.434663532769676,-1.25396083353515,214
"San Marino",-0.866112293643361,0.409365600906764,-1.27547789455013,215
"Romani people",0.127669295436615,1.46683881275103,-1.33916951731441,216
"Western Armenia",-0.521903601958468,0.903398441424978,-1.42530204338345,217
"Djibouti",-0.645892902701249,0.813007122142769,-1.45890002484402,218
"Frøya",-0.082919978792924,1.41566764104396,-1.49858761983688,219
"Cascadia",-0.261598674534541,1.23750142497879,-1.49910009951333,220
"Vanuatu",-0.423767156315378,1.08296002714859,-1.50672718346397,221
"Ellan Vannin",-0.624077448225107,0.900445245571615,-1.52452269379672,222
"Macau",-0.631709973957911,0.893304643881573,-1.52501461783948,223
"Sápmi",-0.42567267585769,1.10984716442762,-1.53551984028531,224
"Laos",-0.465449537165472,1.08097924693775,-1.54642878410323,225
"Arameans Suryoye",-0.694324579462979,0.876442961657999,-1.57076754112098,226
"Hitra",-0.458431161992818,1.12067019799029,-1.57910135998311,227
"Mongolia",-0.4782975043988,1.14764995548592,-1.62594745988472,228
"Artsakh",-0.757753291585622,0.886581138461153,-1.64433443004677,229
"Székely Land",-0.469681921745642,1.20976295556512,-1.67944487731076,230
"Western Isles",-0.566524675558117,1.24358161458268,-1.81010629014079,231
"United Koreans in Japan",-1.35752034605231,0.497510789832571,-1.85503113588488,232
"Turks and Caicos Islands",-1.06424383652735,0.823251546357374,-1.88749538288472,233
"Brunei",-0.428691865401718,1.47900114044599,-1.90769300584771,234
"Felvidék",-1.03900766648838,0.947322901674313,-1.98633056816269,235
"Bangladesh",-1.17923835365296,0.847117850742595,-2.02635620439555,236
"Alderney",-0.772053997685202,1.27875191716744,-2.05080591485264,237
"Falkland Islands",-1.07325990181585,1.14022816474441,-2.21348806656026,238
"Bhutan",-0.756462155903734,1.55572893801375,-2.31219109391748,239
"Virgin Islands",-1.22442512151335,1.21424648018925,-2.4386716017026,240
"South Ossetia",-0.772218858671817,1.69500210597377,-2.46722096464558,241
"Somaliland",-0.818894239401331,1.67456958971605,-2.49346382911738,242
"Sri Lanka",-1.44072283670601,1.17018921939657,-2.61091205610259,243
"Kabylia",-0.884498113573038,1.76123818458202,-2.64573629815506,244
"Cook Islands",-1.71246518891942,1.1719169310249,-2.88438211994432,245
"East Timor",-1.81131320402285,1.16367240502391,-2.97498560904675,246
"Tibet",-1.05288110439161,1.97894132355337,-3.03182242794498,247
"Barawa",-1.15993399412318,2.0595915643216,-3.21952555844478,248
"American Samoa",-1.07797368001502,2.14797427488143,-3.22594795489645,249
"Sint Maarten",-1.0983919807594,2.21706272840268,-3.31545470916208,250
"Samoa",-1.50794082975953,1.86488834156126,-3.37282917132079,251
"Northern Mariana Islands",-1.39390541208579,2.09057302661186,-3.48447843869764,252
"Matabeleland",-1.80960864340348,1.78079898203091,-3.5904076254344,253
"Tamil Eelam",-1.66027364955703,2.15133330706981,-3.81160695662683,254
"Chagos Islands",-1.26173025165301,2.76481345632474,-4.02654370797775,255
"Tuvalu",-1.4970088095335,2.59661173951116,-4.09362054904466,256
"Raetia",-1.93228942466922,2.29755832840308,-4.2298477530723,257
"Tonga",-2.4376006856269,2.3928556418208,-4.8304563274477,258
"Somalia",-13.859212629512,0.587162234321537,-14.4463748638335,259
"St. Martin",0.432594313525018,15.1652826085669,-14.7326882950419,260
"Bahamas",-14.3699040842249,0.688032675069992,-15.0579367592949,261
"Cayman Islands",-14.305873182293,1.26461887204365,-15.5704920543367,262
"British Virgin Islands",-14.5578457632768,1.25319047392426,-15.811036237201,263
"Anguilla",-15.0443413286958,1.29388650771543,-16.3382278364112,264
"Darfur",-15.5820372970605,3.57412951709976,-19.1561668141603,265
